effort,satisfaction,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,id,productivity,squandering,stcov_c1,stcov_c2,stcov_c3,stcov_c4
290,26.0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,20,0.0896551724137931,0.956973293768546,0.35,0.47368421052631576,0.19230769230769232,0.3157894736842105
320,27.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,21,0.084375,0.9525222551928784,0.35,0.42105263157894735,0.3076923076923077,0.42105263157894735
340,28.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,22,0.08235294117647059,0.9495548961424333,0.35,0.47368421052631576,0.3076923076923077,0.42105263157894735
360,29.0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,23,0.08055555555555556,0.9465875370919882,0.35,0.47368421052631576,0.3076923076923077,0.47368421052631576
400,30.0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,24,0.075,0.9406528189910979,0.35,0.47368421052631576,0.3076923076923077,0.47368421052631576
420,31.0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,25,0.07380952380952381,0.9376854599406528,0.5,0.47368421052631576,0.3076923076923077,0.5789473684210527
440,32.0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,26,0.07272727272727272,0.9347181008902077,0.5,0.47368421052631576,0.3076923076923077,0.631578947368421
480,33.0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,27,0.06875,0.9287833827893175,0.5,0.47368421052631576,0.3076923076923077,0.631578947368421
520,34.0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,28,0.06538461538461539,0.9228486646884273,0.55,0.47368421052631576,0.3076923076923077,0.631578947368421
540,35.0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,29,0.06481481481481481,0.9198813056379822,0.5,0.47368421052631576,0.4230769230769231,0.631578947368421
580,36.0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,30,0.06206896551724138,0.913946587537092,0.5,0.47368421052631576,0.4230769230769231,0.631578947368421
620,37.0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,31,0.05967741935483871,0.9080118694362018,0.55,0.47368421052631576,0.4230769230769231,0.631578947368421
640,38.0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,32,0.059375,0.9050445103857567,0.5,0.47368421052631576,0.4230769230769231,0.7894736842105263
680,39.0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,33,0.057352941176470586,0.8991097922848664,0.5,0.47368421052631576,0.4230769230769231,0.7894736842105263
720,40.0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,34,0.05555555555555555,0.8931750741839762,0.55,0.47368421052631576,0.4230769230769231,0.7894736842105263
770,41.0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,35,0.053246753246753244,0.8857566765578635,0.55,0.47368421052631576,0.4230769230769231,0.7894736842105263
830,42.0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,36,0.05060240963855422,0.8768545994065282,0.55,0.5789473684210527,0.46153846153846156,0.7894736842105263
880,43.0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,37,0.048863636363636366,0.8694362017804155,0.55,0.5789473684210527,0.46153846153846156,0.7894736842105263
950,44.0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,38,0.04631578947368421,0.8590504451038575,0.55,0.5789473684210527,0.46153846153846156,0.8947368421052632
1000,45.0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,39,0.045,0.8516320474777448,0.55,0.5789473684210527,0.46153846153846156,0.8947368421052632
1080,46.0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,40,0.04259259259259259,0.8397626112759644,0.55,0.5789473684210527,0.46153846153846156,0.8947368421052632
1150,47.0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,41,0.0408695652173913,0.8293768545994066,0.7,0.7368421052631579,0.46153846153846156,0.8947368421052632
1200,48.0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,42,0.04,0.8219584569732937,0.55,0.5789473684210527,0.5769230769230769,0.8947368421052632
1280,49.0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,43,0.03828125,0.8100890207715133,0.55,0.5789473684210527,0.5769230769230769,0.8947368421052632
1350,50.0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,44,0.037037037037037035,0.7997032640949555,0.7,0.7368421052631579,0.5769230769230769,0.8947368421052632
1430,51.0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,45,0.03566433566433566,0.787833827893175,0.7,0.7368421052631579,0.5769230769230769,0.8947368421052632
1530,52.0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,46,0.03398692810457516,0.7729970326409495,0.75,0.7894736842105263,0.5769230769230769,0.8947368421052632
1610,53.0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,47,0.03291925465838509,0.7611275964391692,0.7,0.7894736842105263,0.6538461538461539,1.0
1710,54.0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,48,0.031578947368421054,0.7462908011869436,0.75,0.8421052631578947,0.6538461538461539,1.0
1830,55.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,49,0.030054644808743168,0.728486646884273,0.75,0.7894736842105263,0.6923076923076923,0.8947368421052632
1910,56.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,50,0.02931937172774869,0.7166172106824926,0.7,0.7894736842105263,0.7692307692307693,1.0
2010,57.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,51,0.028358208955223882,0.701780415430267,0.75,0.8421052631578947,0.7692307692307693,1.0
2140,58.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,52,0.027102803738317756,0.6824925816023739,0.8,0.7894736842105263,0.7692307692307693,1.0
2240,59.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,53,0.026339285714285714,0.6676557863501483,0.85,0.8421052631578947,0.7692307692307693,1.0
2410,60.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,54,0.024896265560165973,0.642433234421365,0.75,0.8421052631578947,0.7692307692307693,1.0
2540,61.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,55,0.024015748031496063,0.6231454005934718,0.8,0.7894736842105263,0.7692307692307693,1.0
2640,62.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,0.023484848484848483,0.6083086053412463,0.85,0.8421052631578947,0.7692307692307693,1.0
2840,63.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,57,0.022183098591549297,0.5786350148367952,0.8,0.8947368421052632,0.7692307692307693,1.0
2940,64.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58,0.021768707482993196,0.5637982195845698,0.85,0.9473684210526315,0.7692307692307693,1.0
3140,65.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,0.020700636942675158,0.5341246290801187,0.85,1.0,0.7692307692307693,1.0
3340,66.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,60,0.01976047904191617,0.5044510385756676,0.8,0.8947368421052632,0.8846153846153846,1.0
3440,67.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,0.019476744186046512,0.4896142433234421,0.85,0.9473684210526315,0.8846153846153846,1.0
3640,68.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,0.01868131868131868,0.4599406528189911,0.85,1.0,0.8846153846153846,1.0
4340,69.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,63,0.015898617511520736,0.3560830860534125,0.95,0.8947368421052632,0.8846153846153846,1.0
4440,70.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,0.015765765765765764,0.34124629080118696,1.0,0.9473684210526315,0.8846153846153846,1.0
4640,71.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,65,0.015301724137931034,0.3115727002967359,1.0,1.0,0.8846153846153846,1.0
5340,72.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,66,0.01348314606741573,0.20771513353115728,0.95,0.8947368421052632,0.8846153846153846,1.0
5440,73.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,67,0.013419117647058823,0.19287833827893175,1.0,0.9473684210526315,0.8846153846153846,1.0
5640,74.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,68,0.013120567375886525,0.1632047477744807,1.0,1.0,0.8846153846153846,1.0
6440,75.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,69,0.011645962732919254,0.04451038575667656,0.95,0.8947368421052632,1.0,1.0
6540,76.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70,0.011620795107033639,0.02967359050445104,1.0,0.9473684210526315,1.0,1.0
6740,77.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,71,0.01142433234421365,1e-09,1.0,1.0,1.0,1.0
