satisfaction,effort,dissatisfaction,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,id,throughput,productivity,squandering,annoyance,dirtiness
43.0,12,50,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,50,0.4375,3.5833333333333335,0.7,1.1627906976744187,4.166666666666667
45.0,12,51,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,51,0.4375,3.75,0.7,1.1333333333333333,4.25
50.0,13,57,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,52,0.5,3.8461538461538463,0.675,1.14,4.384615384615385
42.0,15,49,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,53,0.4375,2.8,0.625,1.1666666666666667,3.2666666666666666
47.0,16,55,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,54,0.5,2.9375,0.6,1.1702127659574468,3.4375
49.0,16,56,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,55,0.5,3.0625,0.6,1.1428571428571428,3.5
51.0,16,64,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,56,0.5625,3.1875,0.6,1.2549019607843137,4.0
53.0,16,65,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,57,0.5625,3.3125,0.6,1.2264150943396226,4.0625
54.0,17,62,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,58,0.5625,3.176470588235294,0.575,1.1481481481481481,3.6470588235294117
55.0,20,69,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,59,0.625,2.75,0.5,1.2545454545454546,3.45
57.0,20,70,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,60,0.625,2.85,0.5,1.2280701754385965,3.5
58.0,23,77,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,61,0.6875,2.5217391304347827,0.425,1.3275862068965518,3.347826086956522
59.0,26,84,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,62,0.75,2.269230769230769,0.35,1.423728813559322,3.230769230769231
60.0,29,92,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,63,0.8125,2.0689655172413794,0.275,1.5333333333333334,3.1724137931034484
60.0,30,91,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,64,0.8125,2.0,0.25,1.5166666666666666,3.033333333333333
61.0,32,101,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,65,0.875,1.90625,0.2,1.6557377049180328,3.15625
61.0,33,99,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,66,0.875,1.8484848484848484,0.175,1.6229508196721312,3.0
62.0,36,108,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,67,0.9375,1.7222222222222223,0.1,1.7419354838709677,3.0
63.0,40,117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,68,1.0,1.575,0.0,1.8571428571428572,2.925
