satisfaction,prevalence,cost,dissatisfaction,inestability,effort,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,id,throughput,productivity,squandering,effectiveness,dirtiness,annoyance,stickiness,fragility,robustness,usage_efficiency
764,386,450,391,653,1430,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0.09090909090909091,0.5342657342657343,0.9416445623342176,1.6977777777777778,0.27342657342657345,0.5117801047120419,0.2699300699300699,176.26433566433568,1.1699846860643186,0.8577777777777778
566,356,1600,530,645,1435,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0.09090909090909091,0.39442508710801394,0.9414405223423791,0.35375,0.3693379790940767,0.9363957597173145,0.2480836236933798,160.01393728222996,0.8775193798449612,0.2225
677,246,1500,466,340,1460,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0.09090909090909091,0.4636986301369863,0.9404203223831871,0.4513333333333333,0.31917808219178084,0.6883308714918759,0.1684931506849315,57.28767123287671,1.9911764705882353,0.164
468,251,1350,378,507,1465,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,23,0.09090909090909091,0.3194539249146758,0.9402162823913487,0.3466666666666667,0.25802047781569964,0.8076923076923077,0.17133105802047782,86.86484641638225,0.9230769230769231,0.18592592592592594
756,370,1300,331,620,1500,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0.09090909090909091,0.504,0.9387880024484799,0.5815384615384616,0.22066666666666668,0.43783068783068785,0.24666666666666667,152.93333333333334,1.2193548387096773,0.2846153846153846
626,368,700,400,578,1560,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0.09090909090909091,0.4012820512820513,0.9363395225464191,0.8942857142857142,0.2564102564102564,0.6389776357827476,0.2358974358974359,136.34871794871796,1.0830449826989619,0.5257142857142857
676,425,1200,437,653,1575,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0.09090909090909091,0.4292063492063492,0.9357274025709039,0.5633333333333334,0.27746031746031746,0.6464497041420119,0.2698412698412698,176.20634920634922,1.0352220520673814,0.3541666666666667
650,544,1000,413,722,1600,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.09090909090909091,0.40625,0.9347072026117119,0.65,0.258125,0.6353846153846154,0.34,245.48,0.9002770083102493,0.544
578,320,950,285,515,1605,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,28,0.09090909090909091,0.3601246105919003,0.9345031626198735,0.608421052631579,0.17757009345794392,0.4930795847750865,0.19937694704049844,102.6791277258567,1.1223300970873786,0.3368421052631579
750,286,750,370,585,1620,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0.09090909090909091,0.46296296296296297,0.9338910426443583,1.0,0.22839506172839505,0.49333333333333335,0.1765432098765432,103.27777777777777,1.2820512820512822,0.38133333333333336
774,462,1050,383,729,1660,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.09090909090909091,0.46626506024096387,0.932258722709651,0.7371428571428571,0.23072289156626505,0.49483204134366926,0.2783132530120482,202.89036144578313,1.0617283950617284,0.44
490,186,1600,392,494,1665,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,31,0.09090909090909091,0.29429429429429427,0.9320546827178127,0.30625,0.23543543543543544,0.8,0.11171171171171171,55.185585585585585,0.9919028340080972,0.11625
1016,422,1300,612,842,1670,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,32,0.13636363636363635,0.6083832335329341,0.9318506427259743,0.7815384615384615,0.3664670658682635,0.6023622047244095,0.25269461077844313,212.7688622754491,1.2066508313539193,0.32461538461538464
461,357,700,346,622,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,33,0.09090909090909091,0.2727810650887574,0.9310344827586207,0.6585714285714286,0.20473372781065088,0.7505422993492408,0.21124260355029587,131.39289940828402,0.7411575562700965,0.51
1040,598,1600,625,986,1710,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34,0.13636363636363635,0.6081871345029239,0.930218322791267,0.65,0.3654970760233918,0.6009615384615384,0.3497076023391813,344.81169590643276,1.054766734279919,0.37375
644,460,450,452,687,1720,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.09090909090909091,0.3744186046511628,0.9298102428075903,1.431111111111111,0.2627906976744186,0.7018633540372671,0.26744186046511625,183.7325581395349,0.9374090247452693,1.0222222222222221
568,309,1600,521,504,1750,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36,0.09090909090909091,0.32457142857142857,0.9285860028565599,0.355,0.2977142857142857,0.9172535211267606,0.17657142857142857,88.992,1.126984126984127,0.193125
513,354,600,313,581,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,37,0.09090909090909091,0.29147727272727275,0.928177922872883,0.855,0.17784090909090908,0.6101364522417154,0.20113636363636364,116.86022727272727,0.882960413080895,0.59
662,325,1500,416,585,1765,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,0.09090909090909091,0.375070821529745,0.9279738828810447,0.44133333333333336,0.23569405099150142,0.6283987915407855,0.18413597733711048,107.71954674220963,1.1316239316239316,0.21666666666666667
910,596,1000,694,944,1770,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,39,0.13636363636363635,0.5141242937853108,0.9277698428892063,0.91,0.392090395480226,0.7626373626373626,0.3367231638418079,317.8666666666667,0.9639830508474576,0.596
473,302,850,255,503,1775,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0.09090909090909091,0.26647887323943664,0.9275658028973679,0.5564705882352942,0.14366197183098592,0.5391120507399577,0.17014084507042254,85.58084507042254,0.9403578528827038,0.3552941176470588
564,220,1250,264,447,1795,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,41,0.09090909090909091,0.31420612813370474,0.9267496429300143,0.4512,0.14707520891364903,0.46808510638297873,0.12256267409470752,54.78551532033426,1.261744966442953,0.176
686,501,1800,429,729,1805,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0.09090909090909091,0.3800554016620499,0.9263415629463375,0.3811111111111111,0.23767313019390582,0.6253644314868805,0.2775623268698061,202.34293628808865,0.9410150891632373,0.2783333333333333
1034,514,1050,664,951,1830,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,43,0.13636363636363635,0.5650273224043716,0.9253213629871455,0.9847619047619047,0.3628415300546448,0.6421663442940039,0.28087431693989073,267.1114754098361,1.0872765509989484,0.4895238095238095
588,396,1550,277,591,1835,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,0.09090909090909091,0.32043596730245233,0.9251173229953071,0.3793548387096774,0.15095367847411445,0.4710884353741497,0.21580381471389645,127.54005449591281,0.9949238578680203,0.25548387096774194
456,269,550,330,581,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,45,0.09090909090909091,0.24782608695652175,0.9249132830034686,0.8290909090909091,0.1793478260869565,0.7236842105263158,0.14619565217391303,84.93967391304348,0.7848537005163512,0.4890909090909091
947,374,2100,739,638,1860,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,46,0.13636363636363635,0.5091397849462366,0.9240971230361151,0.45095238095238094,0.39731182795698927,0.7803590285110876,0.2010752688172043,128.28602150537634,1.4843260188087775,0.17809523809523808
556,499,1200,498,687,1865,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.09090909090909091,0.29812332439678285,0.9238930830442766,0.4633333333333333,0.2670241286863271,0.89568345323741,0.2675603217158177,183.81394101876677,0.8093158660844251,0.41583333333333333
678,378,1200,428,512,1890,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0.09090909090909091,0.35873015873015873,0.9228728830850846,0.565,0.22645502645502646,0.6312684365781711,0.2,102.4,1.32421875,0.315
458,394,950,346,549,1895,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,0.09090909090909091,0.24168865435356202,0.9226688430932463,0.48210526315789476,0.18258575197889182,0.7554585152838428,0.2079155672823219,114.14564643799473,0.8342440801457195,0.4147368421052632
1026,498,1900,604,918,1900,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50,0.13636363636363635,0.54,0.9224648031014079,0.54,0.3178947368421053,0.5886939571150097,0.26210526315789473,240.61263157894737,1.1176470588235294,0.26210526315789473
590,426,1300,310,678,1920,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,0.09090909090909091,0.3072916666666667,0.9216486431340543,0.45384615384615384,0.16145833333333334,0.5254237288135594,0.221875,150.43125,0.8702064896755162,0.32769230769230767
582,312,1000,316,556,1955,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,0.09090909090909091,0.29769820971867006,0.9202203631911855,0.582,0.16163682864450127,0.5429553264604811,0.15959079283887467,88.73248081841432,1.0467625899280575,0.312
896,496,1300,673,876,1960,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,53,0.13636363636363635,0.45714285714285713,0.9200163231993471,0.6892307692307692,0.3433673469387755,0.7511160714285714,0.2530612244897959,221.68163265306123,1.0228310502283104,0.38153846153846155
946,553,1800,710,951,1975,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,54,0.13636363636363635,0.4789873417721519,0.9194042032238319,0.5255555555555556,0.3594936708860759,0.7505285412262156,0.28,266.28,0.9947423764458465,0.30722222222222223
460,424,700,379,636,1980,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0.09090909090909091,0.23232323232323232,0.9192001632319935,0.6571428571428571,0.19141414141414143,0.8239130434782609,0.21414141414141413,136.1939393939394,0.7232704402515723,0.6057142857142858
586,155,1500,278,434,1995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,56,0.09090909090909091,0.293734335839599,0.9185880432564782,0.39066666666666666,0.1393483709273183,0.47440273037542663,0.07769423558897243,33.719298245614034,1.3502304147465438,0.10333333333333333
920,672,1600,686,1020,2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,0.13636363636363635,0.46,0.9183840032646399,0.575,0.343,0.7456521739130435,0.336,342.72,0.9019607843137255,0.42
848,448,1550,558,813,2005,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,58,0.13636363636363635,0.4229426433915212,0.9181799632728015,0.5470967741935484,0.27830423940149623,0.6580188679245284,0.22344139650872819,181.657855361596,1.0430504305043051,0.28903225806451616
1020,414,1350,643,883,2020,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,59,0.13636363636363635,0.504950495049505,0.9175678432972862,0.7555555555555555,0.3183168316831683,0.6303921568627451,0.20495049504950494,180.97128712871287,1.1551528878822197,0.30666666666666664
610,331,1800,291,578,2035,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0.09090909090909091,0.29975429975429974,0.9169557233217711,0.3388888888888889,0.142997542997543,0.47704918032786886,0.16265356265356265,94.01375921375922,1.055363321799308,0.18388888888888888
1136,567,1500,511,926,2040,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,61,0.13636363636363635,0.5568627450980392,0.9167516833299326,0.7573333333333333,0.25049019607843137,0.4498239436619718,0.27794117647058825,257.3735294117647,1.2267818574514038,0.378
1044,590,1650,656,1027,2060,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62,0.13636363636363635,0.5067961165048543,0.9159355233625791,0.6327272727272727,0.31844660194174756,0.6283524904214559,0.28640776699029125,294.1407766990291,1.0165530671859786,0.3575757575757576
471,244,550,491,573,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,63,0.09090909090909091,0.22753623188405797,0.9155274433789022,0.8563636363636363,0.23719806763285023,1.0424628450106157,0.1178743961352657,67.54202898550724,0.8219895287958116,0.44363636363636366
664,278,1500,407,444,2080,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64,0.09090909090909091,0.3192307692307692,0.9151193633952255,0.44266666666666665,0.19567307692307692,0.6129518072289156,0.13365384615384615,59.34230769230769,1.4954954954954955,0.18533333333333332
731,485,1300,619,920,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,65,0.13636363636363635,0.3497607655502392,0.9147112834115486,0.5623076923076923,0.29617224880382775,0.8467852257181943,0.23205741626794257,213.4928229665072,0.7945652173913044,0.3730769230769231
480,329,1200,360,536,2095,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0.09090909090909091,0.22911694510739858,0.9145072434197102,0.4,0.1718377088305489,0.75,0.15704057279236278,84.17374701670644,0.8955223880597015,0.27416666666666667
1006,565,900,580,884,2100,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,67,0.13636363636363635,0.47904761904761906,0.9143032034278719,1.1177777777777778,0.2761904761904762,0.5765407554671969,0.26904761904761904,237.83809523809524,1.1380090497737556,0.6277777777777778
914,588,1050,725,985,2120,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,0.13636363636363635,0.43113207547169813,0.9134870434605182,0.8704761904761905,0.3419811320754717,0.7932166301969366,0.27735849056603773,273.1981132075472,0.9279187817258884,0.56
1030,741,1200,593,1028,2140,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69,0.13636363636363635,0.48130841121495327,0.9126708834931646,0.8583333333333333,0.27710280373831775,0.5757281553398058,0.34626168224299064,355.9570093457944,1.0019455252918288,0.6175
604,247,1250,330,543,2155,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,0.09090909090909091,0.2802784222737819,0.9120587635176495,0.4832,0.1531322505800464,0.5463576158940397,0.11461716937354989,62.237122969837586,1.1123388581952118,0.1976
1130,483,950,550,891,2160,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,71,0.13636363636363635,0.5231481481481481,0.9118547235258111,1.1894736842105262,0.25462962962962965,0.48672566371681414,0.22361111111111112,199.2375,1.2682379349046016,0.508421052631579
932,453,2100,689,883,2165,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,72,0.13636363636363635,0.43048498845265587,0.9116506835339726,0.4438095238095238,0.3182448036951501,0.7392703862660944,0.2092378752886836,184.75704387990763,1.0554926387315968,0.21571428571428572
558,452,1200,489,546,2180,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0.09090909090909091,0.25596330275229356,0.9110385635584575,0.465,0.22431192660550459,0.8763440860215054,0.20733944954128442,113.20733944954128,1.021978021978022,0.37666666666666665
496,381,1500,395,643,2185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74,0.09090909090909091,0.22700228832951946,0.9108345235666191,0.33066666666666666,0.18077803203661327,0.7963709677419355,0.17437070938215102,112.1203661327231,0.7713841368584758,0.254
834,348,1850,537,745,2195,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,75,0.13636363636363635,0.37995444191343963,0.9104264435829422,0.4508108108108108,0.24464692482915718,0.6438848920863309,0.15854214123006835,118.1138952164009,1.1194630872483222,0.1881081081081081
1154,659,1250,563,1035,2200,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76,0.13636363636363635,0.5245454545454545,0.9102224035911038,0.9232,0.2559090909090909,0.4878682842287695,0.29954545454545456,310.0295454545454,1.114975845410628,0.5272
956,629,2400,702,1027,2205,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,77,0.13636363636363635,0.4335600907029478,0.9100183635992655,0.3983333333333333,0.3183673469387755,0.7343096234309623,0.2852607709750567,292.9628117913832,0.9308666017526777,0.26208333333333333
398,276,1250,243,505,2215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,78,0.09090909090909091,0.1796839729119639,0.9096102836155887,0.3184,0.10970654627539503,0.6105527638190955,0.12460496613995485,62.925507900677204,0.7881188118811882,0.2208
841,554,900,526,928,2230,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,79,0.13636363636363635,0.37713004484304935,0.9089981636400735,0.9344444444444444,0.2358744394618834,0.6254458977407847,0.2484304932735426,230.54349775784755,0.90625,0.6155555555555555
858,524,2150,550,889,2235,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,80,0.13636363636363635,0.3838926174496644,0.9087941236482351,0.39906976744186046,0.24608501118568232,0.6410256410256411,0.23445190156599552,208.42774049217002,0.9651293588301463,0.24372093023255814
1024,657,650,632,993,2260,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81,0.13636363636363635,0.45309734513274336,0.9077739236890431,1.5753846153846154,0.27964601769911507,0.6171875,0.2907079646017699,288.6730088495575,1.0312185297079557,1.0107692307692309
826,627,1800,771,985,2265,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,82,0.13636363636363635,0.36467991169977926,0.9075698836972047,0.4588888888888889,0.3403973509933775,0.9334140435835351,0.2768211920529801,272.66887417218544,0.8385786802030457,0.34833333333333333
948,506,1800,701,810,2290,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,83,0.13636363636363635,0.41397379912663756,0.9065496837380127,0.5266666666666666,0.30611353711790396,0.739451476793249,0.22096069868995633,178.97816593886463,1.1703703703703703,0.2811111111111111
728,522,1550,619,847,2295,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,84,0.13636363636363635,0.3172113289760349,0.9063456437461742,0.4696774193548387,0.26971677559912854,0.8502747252747253,0.22745098039215686,192.65098039215687,0.859504132231405,0.3367741935483871
774,558,800,521,907,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,85,0.13636363636363635,0.33652173913043476,0.9061416037543358,0.9675,0.22652173913043477,0.6731266149870802,0.2426086956521739,220.04608695652175,0.8533627342888643,0.6975
1042,522,1700,596,891,2305,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,86,0.13636363636363635,0.45206073752711495,0.9059375637624975,0.6129411764705882,0.25856832971800436,0.5719769673704415,0.2264642082429501,201.77960954446854,1.1694725028058361,0.3070588235294118
853,499,1050,435,809,2315,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,87,0.13636363636363635,0.36846652267818575,0.9055294837788207,0.8123809523809524,0.1879049676025918,0.5099648300117233,0.21555075593952483,174.3805615550756,1.0543881334981458,0.47523809523809524
1016,641,1500,572,960,2330,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,0.13636363636363635,0.43605150214592275,0.9049173638033055,0.6773333333333333,0.24549356223175967,0.562992125984252,0.27510729613733903,264.1030042918455,1.0583333333333333,0.42733333333333334
944,417,1450,444,753,2335,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,89,0.13636363636363635,0.4042826552462527,0.9047133238114671,0.6510344827586206,0.19014989293361884,0.4703389830508475,0.1785867237687366,134.47580299785866,1.253652058432935,0.28758620689655173
1066,698,2000,609,1035,2345,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90,0.13636363636363635,0.45458422174840085,0.9043052438277902,0.533,0.25970149253731345,0.5712945590994372,0.2976545842217484,308.0724946695096,1.029951690821256,0.349
1061,435,1750,677,687,2350,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91,0.13636363636363635,0.45148936170212767,0.9041012038359518,0.6062857142857143,0.28808510638297874,0.6380772855796418,0.1851063829787234,127.16808510638297,1.544395924308588,0.24857142857142858
688,351,1100,283,623,2370,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,92,0.09090909090909091,0.290295358649789,0.9032850438685982,0.6254545454545455,0.11940928270042193,0.4113372093023256,0.14810126582278482,92.26708860759494,1.1043338683788122,0.3190909090909091
968,593,1750,457,897,2375,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,93,0.13636363636363635,0.40757894736842104,0.9030810038767598,0.5531428571428572,0.19242105263157894,0.47210743801652894,0.2496842105263158,223.96673684210526,1.0791527313266445,0.33885714285714286
594,409,2000,505,553,2385,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0.09090909090909091,0.2490566037735849,0.9026729238930831,0.297,0.21174004192872117,0.8501683501683501,0.17148846960167716,94.83312368972746,1.074141048824593,0.2045
1140,559,1550,542,967,2390,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95,0.13636363636363635,0.4769874476987448,0.9024688839012447,0.7354838709677419,0.22677824267782426,0.47543859649122805,0.23389121338912133,226.17280334728034,1.1789038262668046,0.3606451612903226
